Индекс,Доходность,GARCH sigma,VaR 95% GARCH-t,ES 95% GARCH-t,Exception 95% GARCH-t,VaR 99% GARCH-t,ES 99% GARCH-t,Exception 99% GARCH-t,VaR 95% GARCH-normal,Exception 95% GARCH-normal,VaR 95% Historical,Exception 95% Historical,VaR 99% Historical,Exception 99% Historical
2025-10-07,0.5440786220981984,0.614942792497913,-0.9565661161646763,-1.3080574772297806,0,-1.5129794022552083,-1.8888716468570756,0,-0.9788036653899802,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-08,0.8600859858226345,0.6126052520915816,-0.9528057344395948,-1.3029609951893697,0,-1.5071039643741337,-1.88156735523399,0,-0.9749587535744805,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-09,-0.9665148729380281,0.6261455338995101,-0.9745878726756129,-1.3324825396594886,0,-1.5411376368784666,-1.92387771133136,0,-0.9972305352161969,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-10,1.3037087953390871,0.6498283510932227,-1.0126862228613327,-1.3841176053752182,0,-1.600664702546984,-1.997881224926488,0,-1.0361853029737038,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-13,1.1804662693629084,0.6921701920614942,-1.0808011887255091,-1.476434483179017,0,-1.70709146449967,-2.1301900198687593,0,-1.1058314336621675,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-14,0.5158269557230692,0.7202928547964135,-1.1260418813452322,-1.5377496352802782,0,-1.7777781390495013,-2.2180670590322973,0,-1.1520890974612326,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-15,0.753713343675505,0.7115411862843805,-1.1119631453167629,-1.5186685869807932,0,-1.7557807076643874,-2.19072004983095,0,-1.137693883767338,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-16,1.5325822697721583,0.7125233524253701,-1.1135431477832733,-1.5208099797390513,0,-1.7582493948941993,-2.1937890996307643,0,-1.1393094033066138,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-17,-1.0227033915262704,0.7672155503379874,-1.2015260296954289,-1.640054038005287,0,-1.895718937899592,-2.364690001270469,0,-1.22927006340913,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-20,1.9920167312380597,0.7825971099182427,-1.2262702161027224,-1.6735900752613508,0,-1.9343806857705825,-2.412753939112032,0,-1.2545704774728832,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-21,-3.0126009863673016,0.8719535368081625,-1.3700171536039172,-1.8684117021330353,1,-2.1589792142257394,-2.6919728132042486,1,-1.4015487203341919,1,-1.1610133408531866,1,-1.7478223970656872,1
2025-10-22,0.037902131824123754,1.0721429906228643,-1.6920602556781625,-2.304879860408664,0,-2.662157981595363,-3.3175201391748503,0,-1.7308310695187386,0,-1.2080941913778063,0,-2.261527016697243,0
2025-10-23,-0.1421560320198575,1.0434073564930908,-1.6458334810959783,-2.2422282618029064,0,-2.5899305955593954,-3.227727701324514,0,-1.68356515749763,0,-1.2080941913778063,0,-2.261527016697243,0
2025-10-24,-0.1458690634012338,1.0163313858896934,-1.6022765933647185,-2.183195186895131,0,-2.521874795146631,-3.1431213412677486,0,-1.6390291490474005,0,-1.2080941913778063,0,-2.261527016697243,0
2025-10-27,-1.2300554984153027,0.9902212820940295,-1.560273487498716,-2.1262679677089125,0,-2.456246713379867,-3.061533099235226,0,-1.5960818501190233,0,-1.2080941913778063,1,-2.261527016697243,0
